Date,Open,High,Low,Close
2016-12-14,194.21,194.91,192.46,192.90
2016-12-15,193.14,194.55,192.91,193.69
2016-12-16,194.15,194.21,193.00,193.32
2016-12-19,193.50,194.16,193.35,193.74
2016-12-20,194.27,194.63,194.04,194.48
2016-12-21,194.36,194.53,193.94,193.94
2016-12-22,193.80,193.92,193.21,193.61
2016-12-23,193.65,193.90,193.46,193.89
2016-12-27,194.16,194.77,194.14,194.37
2016-12-28,194.63,194.65,192.65,192.77
2016-12-29,192.83,193.19,192.29,192.72
2016-12-30,193.05,193.14,191.33,192.02
2017-01-03,193.32,193.99,192.32,193.49
2017-01-04,193.81,194.78,193.81,194.64
2017-01-05,194.37,194.64,193.69,194.48
2017-01-06,194.60,195.64,194.05,195.18
2017-01-09,194.92,195.06,194.50,194.54
2017-01-10,194.55,195.39,194.15,194.54
2017-01-11,194.45,195.09,193.79,195.09
2017-01-12,194.57,194.78,193.25,194.60
2017-01-13,194.77,195.34,194.73,195.04
2017-01-17,194.41,194.81,193.97,194.36
2017-01-18,194.60,194.83,194.05,194.78
2017-01-19,194.86,195.00,193.63,194.06
2017-01-20,194.74,195.27,194.11,194.78
2017-01-23,194.78,194.84,193.51,194.27
2017-01-24,194.48,195.93,194.37,195.52
2017-01-25,196.46,197.21,196.30,197.21
2017-01-26,197.06,197.33,196.73,197.00
2017-01-27,197.08,197.22,196.51,196.69
2017-01-30,196.00,196.03,194.49,195.47
2017-01-31,194.98,195.51,194.42,195.45
2017-02-01,195.45,196.37,194.95,195.53
2017-02-02,195.53,195.94,194.84,195.66
2017-02-03,196.56,197.19,196.25,197.01
2017-02-06,196.61,197.00,196.32,196.66
2017-02-07,197.04,197.28,196.48,196.67
2017-02-08,196.67,197.05,196.12,196.92
2017-02-09,196.92,198.39,196.92,198.09
2017-02-10,198.44,199.10,198.11,198.87
2017-02-13,199.36,200.21,199.34,199.96
2017-02-14,199.78,200.76,199.43,200.76
2017-02-15,200.54,201.99,200.49,201.80
2017-02-16,201.83,202.01,200.88,201.63
2017-02-17,200.97,201.95,200.95,201.95
