Date,Open,High,Low,Close
2017-01-17,74.19,74.42,74.00,74.16
2017-01-18,74.27,74.38,73.99,74.37
2017-01-19,74.37,74.48,73.81,74.00
2017-01-20,74.28,74.48,73.99,74.28
2017-01-23,74.22,74.28,73.78,74.06
2017-01-24,74.24,74.92,74.22,74.80
2017-01-25,75.13,75.39,75.08,75.36
2017-01-26,75.36,75.42,75.09,75.16
2017-01-27,75.24,75.24,74.86,74.93
2017-01-30,74.68,74.69,74.02,74.51
2017-01-31,74.37,74.63,74.10,74.63
2017-02-01,74.78,74.88,74.17,74.44
2017-02-02,74.29,74.70,74.19,74.60
2017-02-03,74.89,75.19,74.82,75.12
2017-02-06,75.02,75.13,74.79,74.92
2017-02-07,75.01,75.10,74.71,74.84
2017-02-08,74.84,75.03,74.57,75.00
2017-02-09,75.10,75.62,75.07,75.46
2017-02-10,75.69,75.97,75.65,75.89
2017-02-13,76.11,76.34,76.06,76.22
2017-02-14,76.13,76.46,76.00,76.43
2017-02-15,76.34,76.91,76.32,76.80
2017-02-16,76.83,76.92,76.37,76.60
2017-02-17,76.42,76.76,76.31,76.76
2017-02-21,76.87,77.36,76.87,77.30
2017-02-22,77.13,77.25,77.00,77.11
2017-02-23,77.34,77.36,76.77,76.98
2017-02-24,76.67,77.19,76.59,77.19
2017-02-27,77.19,77.41,77.04,77.36
2017-02-28,77.19,77.21,76.88,76.97
2017-03-01,77.56,78.13,77.56,77.91
2017-03-02,77.85,77.85,77.38,77.41
2017-03-03,77.36,77.47,77.14,77.40
2017-03-06,77.09,77.28,76.85,77.05
2017-03-07,76.93,76.97,76.65,76.71
2017-03-08,76.76,76.94,76.47,76.53
2017-03-09,76.54,76.73,76.11,76.46
2017-03-10,76.84,76.97,76.39,76.76
2017-03-13,76.76,76.94,76.67,76.92
2017-03-14,76.66,76.66,76.27,76.55
2017-03-15,76.74,77.59,76.71,77.39
2017-03-16,77.47,77.47,77.09,77.21
2017-03-17,77.37,77.40,77.13,77.19
2017-03-20,77.19,77.22,76.80,76.97
2017-03-21,77.23,77.23,75.87,75.96
2017-03-22,75.93,76.20,75.66,76.09
2017-03-23,76.08,76.60,75.98,76.13
2017-03-24,76.25,76.47,75.83,76.13
2017-03-27,75.53,76.11,75.34,75.99
2017-03-28,75.97,76.76,75.86,76.62
2017-03-29,76.56,76.92,76.46,76.88
2017-03-30,76.86,77.14,76.77,77.03
2017-03-31,76.98,77.21,76.90,76.98
2017-04-03,77.05,77.08,76.22,76.68
2017-04-04,76.56,76.64,76.36,76.58
2017-04-05,76.86,77.28,76.28,76.37
2017-04-06,76.47,76.97,76.34,76.78
2017-04-07,76.77,76.97,76.55,76.71
2017-04-10,76.79,77.16,76.65,76.89
2017-04-11,76.75,76.92,76.29,76.92
2017-04-12,76.82,76.84,76.35,76.44
2017-04-13,76.32,76.53,75.90,75.91
2017-04-17,76.14,76.54,75.98,76.53
2017-04-18,76.25,76.50,76.01,76.30
2017-04-19,76.57,76.75,76.23,76.33
2017-04-20,76.55,77.13,76.44,76.96
2017-04-21,76.92,76.95,76.55,76.71
2017-04-24,77.53,77.64,77.27,77.47
2017-04-25,77.67,77.98,77.59,77.87
2017-04-26,77.89,78.27,77.70,77.89
2017-04-27,77.96,78.02,77.61,77.86
2017-04-28,77.88,77.91,77.42,77.49
2017-05-01,77.67,77.67,77.34,77.46
2017-05-02,77.55,77.62,77.36,77.53
2017-05-03,77.37,77.46,77.06,77.28
2017-05-04,77.36,77.42,76.99,77.35
2017-05-05,77.53,77.86,77.43,77.86
2017-05-08,77.88,77.92,77.54,77.68
2017-05-09,77.75,77.81,77.52,77.63
2017-05-10,77.66,77.94,77.48,77.92
2017-05-11,77.72,77.74,77.14,77.60
2017-05-12,77.49,77.55,77.18,77.25
2017-05-15,77.44,77.87,77.44,77.72
2017-05-16,77.84,77.86,77.39,77.52
2017-05-17,76.94,77.09,76.27,76.32
2017-05-18,76.22,76.80,76.08,76.49
2017-05-19,76.69,77.36,76.52,77.11
2017-05-22,77.26,77.58,77.14,77.51
2017-05-23,77.67,77.70,77.43,77.53
2017-05-24,77.59,77.73,77.51,77.70
2017-05-25,77.89,78.16,77.83,78.01
2017-05-26,77.97,78.02,77.90,77.99
2017-05-30,77.88,77.97,77.71,77.85
2017-05-31,77.95,77.96,77.53,77.92
2017-06-01,78.09,78.75,77.94,78.73
2017-06-02,78.78,78.94,78.59,78.84
2017-06-05,78.77,78.83,78.61,78.67
2017-06-06,78.42,78.57,78.26,78.36
2017-06-07,78.47,78.58,78.20,78.43
2017-06-08,78.45,78.65,78.27,78.49
2017-06-09,78.55,79.00,78.39,78.73
2017-06-12,78.66,78.91,78.55,78.83
2017-06-13,79.02,79.33,78.92,79.33
2017-06-14,79.36,79.37,78.90,79.15
2017-06-15,78.69,79.03,78.61,78.98
2017-06-16,79.04,79.04,78.65,79.00
2017-06-19,79.26,79.52,79.15,79.49
2017-06-20,79.41,79.41,78.81,78.85
2017-06-21,78.96,78.98,78.45,78.63
2017-06-22,78.62,78.90,78.51,78.65
